report_date,bank_name,bank_category,record_type,metric,value,unit,data_status
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,dc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,dc_other_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,dc_pos_txn_val,2672.89205,rs_thousands,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,dc_pos_txn_vol,919.0,transactions,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,dc_pos_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,dc_pos_withdrawal_vol,0.0,transactions,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,debit_cards,1105.0,count,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,micro_atms,0.0,count,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,pos_terminals,0.0,count,provisional
2025-10-31,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign Banks,bank,upi_qr,0.0,count,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,atm_offsite,2485.0,count,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,atm_onsite,8994.0,count,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,bharat_qr,25909.0,count,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,cc_atm_withdrawal_val,61750.4,rs_thousands,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,cc_atm_withdrawal_vol,11372.0,transactions,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,cc_ecom_txn_val,18436627.48143,rs_thousands,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,cc_ecom_txn_vol,3580262.0,transactions,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,cc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,cc_other_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,cc_pos_txn_val,17861049.735669997,rs_thousands,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,cc_pos_txn_vol,8661335.0,transactions,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,credit_cards,2992464.0,count,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,dc_atm_withdrawal_val,120543772.489,rs_thousands,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,dc_atm_withdrawal_vol,22953575.0,transactions,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,dc_ecom_txn_val,2140503.7,rs_thousands,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,dc_ecom_txn_vol,289522.0,transactions,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,dc_other_txn_val,35.4,rs_thousands,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,dc_other_txn_vol,14.0,transactions,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,dc_pos_txn_val,7703961.428,rs_thousands,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,dc_pos_txn_vol,2819405.0,transactions,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,dc_pos_withdrawal_val,1.2,rs_thousands,provisional
